dataset,best_params,RMSE_test,NMSE_test,MAE_test,Time,Expression,Fold,Rep
airfoil,"{'expolim': 1, 'max_terms': 4}",2.476993722322937,1.883663948145372,0.00039360514672947785,3687.686272382736,-26.229523*tanh(x0^-2 * x2^-1 * x3 * x4^-1) + 9.730889*tanh(x0 * x2^-2 * x3^-1 * x4) + -4.403651*log(x0^2 * x2 * x4) + 1.548943*sqrt.abs(x3) + -9.096954*tanh(x0^-1 * x1 * x2^-2 * x4) + -13.752171*cos(x0^-2 * x1^2 * x2 * x3 * x4^-1) + -18848.976513*sin(x0^-2 * x1 * x2 * x3^-2 * x4^-2) + -2634.714389*sin(x1 * x2 * x3^-1 * x4) + 156.01860538053523,1,4
airfoil,"{'expolim': 2, 'max_terms': 6}",2.4570739465046643,1.8590526972511896,0.0003873906732942174,3721.409825325012,6.756718*log(x0^-1 * x2^-1 * x3) + -9.073294*sqrt.abs(x0^-1 * x2^-1 * x3) + 4.16226*log(x0^-1 * x4^-1) + -11.451194*sqrt.abs(x0^-1 * x1 * x2^-1) + -5.587733*tanh(x0^2 * x2 * x3^-2 * x4) + 7.003173*tanh(x3^-2 * x4^-1) + -24678249.54983*id(x2 * x3^-2 * x4^2) + -34.764465*tanh(x0^-1 * x4^-1) + 160.90474550155713,1,5
airfoil,"{'expolim': 3, 'max_terms': 10}",2.316241495112008,1.7627457024922828,0.0003458707895428452,3704.800402641296,152.754772*sqrt.abs(x0^-2 * x1^2 * x2 * x3) + -0.008593*sqrt.abs(x0 * x1^2 * x2) + -4.538081*sqrt.abs(x0^-2 * x1^2 * x2^-2 * x3^2 * x4^2) + -308695.512616*sqrt.abs(x0^-2 * x1^2 * x2^2 * x3^-1 * x4^2) + 2.038593*cos(x0^-1 * x2^2 * x3 * x4^-1) + -0.000728*sqrt.abs(x0^2) + -4.816102*log(x0 * x2 * x3^-1 * x4) + -26.037547*tanh(x0^-2 * x2^-1 * x3 * x4^-1) + 109.50678373823018,2,0
airfoil,"{'expolim': 3, 'max_terms': 8}",2.3028154291315026,1.7481763159943122,0.0003418693801435665,3732.319795846939,-5.270687*log(x0 * x2 * x3^-1 * x4) + -0.000618*id(x0) + -22.226126*tanh(x0^-2 * x2^-1 * x3 * x4^-1) + 7268.476089*sqrt.abs(x0^-1 * x2 * x4) + -50.021305*id(x0^-1 * x2 * x4^-1) + -150940.679027*sqrt.abs(x0^-1 * x1 * x2^2 * x3^-1 * x4^2) + -1.888089*id(x0^-1 * x2^-2 * x3 * x4) + 1.422841*tanh(x0^-1 * x1^-1 * x2^-1 * x3^-2 * x4^2) + 106.71895057725712,2,1
airfoil,"{'expolim': 2, 'max_terms': 10}",2.4142399838577613,1.8661481519787333,0.00037581665477780647,3712.766741514206,-21.054019*sqrt.abs(x0^-2 * x1 * x2^-2) + -87.962759*tanh(x0^-1 * x2 * x4^-1) + -17391.910932*sqrt.abs(x0^-1 * x1^2 * x2^2 * x3^-1 * x4^2) + -4.608763*log(x0^2 * x2 * x3^-1 * x4^-1) + 4.486126*log(x4^-2) + 2.218392*tanh(x0^-2 * x1^-1 * x2 * x4) + -22.308608*tanh(x0^-2 * x2^-1 * x3 * x4^-1) + 1720.03163*sqrt.abs(x0^-2 * x2^2 * x3) + 147.8345593671068,2,2
airfoil,"{'expolim': 2, 'max_terms': 10}",2.4090792164212127,1.857250669343805,0.0003743399777803933,3698.2830200195312,-26.767497*tanh(x0^-2 * x2^-1 * x3 * x4^-1) + 570.53207*tanh(x0^-2 * x2 * x3^2) + -3.681872*log(x3 * x4^-1) + -4.555187*log(x0 * x2 * x3^-1) + 4.499701*log(x0^-1 * x3 * x4^-2) + -47.090071*tanh(x0^-1 * x2 * x4^-1) + 8.772523*tanh(x0 * x2^2 * x3^-1 * x4^-1) + -26051482.59644*tanh(x0^-1 * x1 * x2 * x3^-1 * x4^2) + 129.93966982094864,2,3
airfoil,"{'expolim': 1, 'max_terms': 6}",2.527135639491985,1.9567573214590024,0.0004116286980158253,3703.4693520069122,0.041926*sqrt.abs(x2^-1 * x4^-1) + -0.235581*sqrt.abs(x0^-1 * x1 * x2^-2 * x3) + -3.136589*sqrt.abs(x0 * x1^2 * x2^2 * x4^2) + -0.000998*id(x0) + -10.411968*id(x0^-1 * x4^-1) + 1.148428*sqrt.abs(x3^2 * x4) + -12.541971*sqrt.abs(x0^-2 * x1^2 * x2^-1 * x3^2 * x4^2) + 15.522759*tanh(x0^-1 * x2^-1 * x4^-1) + 115.97582983153967,2,4
airfoil,"{'expolim': 2, 'max_terms': 8}",2.3728056338733308,1.8488367293532508,0.0003629452404883688,3698.708627223969,12.196808*tanh(x0^-2 * x2^-1 * x3^2 * x4^-1) + -17.665567*sqrt.abs(x0 * x2 * x3^-1 * x4) + -20.125213*tanh(x0^-1 * x4^-1) + -7.9e-05*sqrt.abs(x0^2 * x2 * x4^-1) + 23.928034*exp(x0^-1 * x1 * x2 * x3) + 0.216855*sqrt.abs(x2 * x3^-1 * x4^-2) + -98.076064*tanh(x0^-1 * x2^-1 * x3 * x4) + -49154887.5884*exp(x0^-1 * x2^2 * x4^2) + 49154985.95644603,2,5
airfoil,"{'expolim': 2, 'max_terms': 2}",2.7279212747832835,2.0715456398674634,0.00047919994107181084,3727.2296240329742,-25.607707*log(x0 * x2^-2 * x3^-1 * x4) + 20.075729*log(x0^-1 * x2^-1 * x3^-1 * x4) + -19.962684*tanh(x0^-2 * x2^-1 * x3 * x4^-1) + -1068965.916302*tanh(x0^-1 * x4^2) + 35.822206*log(x0 * x2^-1) + -299.632577*sqrt.abs(x0^-2 * x4^-1) + 18.725981*tanh(x0 * x1^-1 * x2) + 7895.815205*id(x0^-2 * x3) + 125.26536292285708,3,0
airfoil,"{'expolim': 3, 'max_terms': 2}",2.6875823660579394,2.0478312485957613,0.00046470563059617683,3713.921135425568,-1.473513*log(x0^-1 * x2^-1 * x3^-2) + -42.656472*tanh(x0^-1 * x4^-1) + 10.953759*tanh(x0^-2 * x1^2 * x2 * x3 * x4^-1) + -82951.928925*sqrt.abs(x0^-2 * x2 * x3^-2) + -10005.822332*sqrt.abs(x0^-1 * x1^2 * x2^2 * x3^-1 * x4^2) + 0.257815*sqrt.abs(x2^-1 * x3^2 * x4) + -4.206528*sqrt.abs(x0^-1 * x1 * x2^-1 * x3) + -7.512599*log(x0^2 * x2 * x4) + 173.7257975069436,3,1
airfoil,"{'expolim': 3, 'max_terms': 4}",2.7187144937556083,2.1160203160613293,0.00047582414048312206,3714.220933675766,-260.425043*sqrt.abs(x0^-2 * x4^-1) + 188.961026*sqrt.abs(x0^-2 * x1^2 * x2^2 * x3) + -6e-06*sqrt.abs(x0^2 * x3^2) + 11.297014*tanh(x0^-2 * x2^-1 * x3^2 * x4^-1) + -22.427699*sqrt.abs(x0 * x2 * x3^-1 * x4) + -13846331.292627*tanh(x0^-1 * x1^2 * x2^2 * x3^-1 * x4^2) + -0.597953*sqrt.abs(x0^-1 * x1 * x2^-2 * x3^2 * x4^2) + -2.975389*id(x0^-1 * x1 * x2^-1) + 126.05766008146482,3,2
airfoil,"{'expolim': 2, 'max_terms': 8}",2.645033001023704,2.0267861554675424,0.0004503143662868583,3705.414506912232,-5.025919*log(x0 * x2 * x3^-1 * x4) + -0.115432*sqrt.abs(x0) + 6437.248321*exp(x0^-1) + -73.701204*tanh(x0^-1 * x2 * x4^-1) + -1.526146*tanh(x0^2 * x1^2 * x2^-2 * x4) + -1242.568385*sqrt.abs(x0^-2 * x2^-1) + -1886610.084708*tanh(x0^-1 * x1 * x2 * x3^-1 * x4) + -22.346173*tanh(x0^-2 * x2^-1 * x3 * x4^-1) + -6321.660075209705,3,3
airfoil,"{'expolim': 3, 'max_terms': 6}",2.5707985990392284,1.998523085998532,0.0004254135118438793,3662.8609611988068,-20.131424*tanh(x0^-2 * x2^-1 * x3 * x4^-1) + -483.047024*sqrt.abs(x0^-2 * x2 * x4^-1) + -4.761114*log(x0 * x2 * x3^-1 * x4) + 11332.925194*sqrt.abs(x0^-2 * x2 * x3 * x4) + -0.133728*sqrt.abs(x0) + -0.003396*sqrt.abs(x0^-2 * x1^2 * x2^-2 * x3 * x4^-2) + -23650.528886*sqrt.abs(x0^-1 * x1^2 * x2^2 * x3^-1 * x4^2) + -65.459515*id(x0^-1 * x2^-1 * x3 * x4) + 117.20999959834236,3,4
airfoil,"{'expolim': 2, 'max_terms': 6}",2.666052224035836,2.0009724665000994,0.0004577302018763399,3727.076785326004,-5.290232*log(x0 * x2 * x3^-1 * x4) + -24.670332*tanh(x0^-2 * x2^-1 * x3 * x4^-1) + -7.081427*tanh(x0^-2 * x2 * x3^2 * x4^-1) + -0.101526*sqrt.abs(x0) + -7678.217528*id(x0^-1 * x1^2 * x2^2 * x3 * x4^2) + 36.166693*exp(x0^-1 * x1 * x2 * x3) + -0.000534*id(x1 * x4^-1) + -52.397734*id(x0^-1 * x2^-1 * x3 * x4) + 76.63637674968126,3,5
airfoil,"{'expolim': 3, 'max_terms': 2}",2.5823871552922006,1.926529064703472,0.0004277235492738337,3696.2114129066467,-25.280345*tanh(x0^-1 * x4^-1) + -24.55704*sqrt.abs(x0^-1 * x1 * x2^-1) + -6.089194*tanh(x0 * x2^-1 * x4^2) + 91.372111*id(x0^-1 * x1) + -161003.633372*sin(x1 * x2 * x3^-2 * x4) + -6.097129*log(x0 * x2) + 9.758236*tanh(x0^-2 * x2^-1 * x3^2 * x4^-1) + -710.811155*tanh(x0^-1 * x2 * x3^-1 * x4^-1) + 164.25593463579426,4,0
airfoil,"{'expolim': 2, 'max_terms': 2}",2.6530802184308886,2.0040098169771827,0.0004517145027383915,3713.0331330299377,90.820485*tanh(x0 * x2 * x3^-1 * x4) + -28.139381*sqrt.abs(x0^-2 * x1 * x2^-2) + 1822462936.20976*cos(x3^-1 * x4^2) + -0.096294*sqrt.abs(x0^-1 * x1 * x2^-1 * x3 * x4^-1) + -50.581792*sqrt.abs(x0^-2 * x2 * x4^-2) + 30970.733796*tanh(x0^-1 * x2^2) + -99.600648*sqrt.abs(x0 * x2 * x3^-1 * x4) + -0.130507*sqrt.abs(x0) + -1822462785.4731581,4,1
airfoil,"{'expolim': 3, 'max_terms': 10}",2.733090220784176,2.017022704891662,0.0004792328362954125,521.7793140411377,-8.616988*tanh(x3^2 * x4) + 6.449324*tanh(x0 * x2^2) + -22.022073*tanh(x0^-2 * x2^-1 * x3 * x4^-1) + 4.014676*tanh(x0 * x1^-2 * x2^3 * x3^-1 * x4^-3) + -2367870416.737086*id(x3^-3 * x4^3) + -878.431572*sqrt.abs(x0^-2 * x2 * x3^-2 * x4^-2) + 4.419631*log(x0^-2 * x2^-1 * x3 * x4^-1) + 1.121081*tanh(x1^-2 * x2^3 * x4^3) + 143.6918541903563,4,2
airfoil,"{'expolim': 2, 'max_terms': 2}",2.4956455771996824,1.7999664751861757,0.0003995304212578746,3892.151586294174,-19.124489*tanh(x0^-2 * x2^-1 * x3 * x4^-1) + -4593.601517*sqrt.abs(x0^-1 * x1 * x4^3) + 155.716086*exp(x3^-1) + 6.17555*tanh(x0^2 * x2^-1 * x3^-1 * x4^2) + -0.018151*sqrt.abs(x0^-2 * x1^3 * x2^-1 * x3 * x4^-2) + -4.638295*log(x0^2 * x2 * x3^-2 * x4) + -27.207071*sin(x0^-1 * x2 * x4^-1) + 0.608346*id(x0^-2 * x1^2 * x2^2 * x3^3) + -36.172658991947586,4,3
airfoil,"{'expolim': 3, 'max_terms': 4}",2.5880499659432807,1.9762789415406001,0.00042946415387773066,3819.668725013733,-1.934133*sqrt.abs(x0^-2 * x2^-3 * x3) + -17.928917*tanh(x1^3 * x2 * x3^-1 * x4) + -1.912134*log(x0^3 * x3^-2 * x4^2) + 2.502863*log(x0^-1 * x2^-2 * x3) + -6.835023*tanh(x0 * x2^-1 * x3^-2) + -21.155586*tanh(x0^-2 * x2^-1 * x3 * x4^-1) + -10.612335*tanh(x0^-2 * x2^2 * x3 * x4^-2) + -1.859898*tanh(x0^-1 * x1 * x4^-3) + 143.65648337341895,4,4
airfoil,"{'expolim': 2, 'max_terms': 6}",2.6577726438396816,2.000906004014652,0.0004534928614529613,3830.134360313416,-207.201859*tanh(x0^-1 * x2^-1) + -2.158875*tanh(x1^2 * x2^-2) + -1.084335*sqrt.abs(x0^-2 * x3 * x4^-2) + 4321.949018*tanh(x0^-1 * x1 * x2^-2 * x3^-3) + 7.952299*tanh(x0^3 * x2^2 * x3^-1 * x4^2) + -49.814288*tanh(x0^-1 * x2 * x4^-1) + -165712.820715*sqrt.abs(x0^-1 * x1^3 * x2 * x3^-3 * x4^3) + 4.909227*log(x0^-2 * x2^-1 * x3 * x4^-1) + 143.0243209051747,4,5
concrete,"{'expolim': 3, 'max_terms': 6}",5.956385014046128,4.674244305496068,0.02723581412260334,864.232480764389,-5.757935*tanh(x0 * x1^-3 * x3^2 * x4^-1 * x7^-1) + -7.220778*log(x0^-1 * x3^-3 * x5 * x6^-2 * x7^-1) + 20.992584*sin(x2^2 * x3^-2) + -20.797533*tanh(x0^-2 * x2^3 * x3^3 * x4^2 * x5^-1 * x6^-3) + -1.8e-05*sqrt.abs(x0 * x3^2 * x4^2 * x5^-1 * x6 * x7) + 0.017748*id(x0 * x3^-1 * x5) + -15.862348*tanh(x0^-1 * x3^2 * x4^-1 * x7^-1) + 0.0*sqrt.abs(x1^2 * x3^2 * x5^2 * x6^2) + -206.32848956118426,0,0
concrete,"{'expolim': 2, 'max_terms': 8}",6.323151186499741,4.795505585429869,0.030665085781871944,868.8078374862671,-6.438811*tanh(x0 * x1^-2 * x3^-2 * x5^2 * x6 * x7^-2) + 0.030128*sqrt.abs(x0^-2 * x1 * x3^2 * x6) + -75.51381*log(x0^-1 * x6 * x7^-1) + 9.298442*tanh(x0^2 * x3^-3 * x4^2 * x5^-1 * x7^2) + -8.236671*tanh(x0^-1 * x4^-1 * x5^-2 * x6) + 22.406002*log(x0^-2 * x3^-2 * x6^2 * x7^-1) + -23.337529*log(x6^-1 * x7^2) + -16.27394*sqrt.abs(x4^2 * x5^-1) + 129.97650980439943,0,1
concrete,"{'expolim': 2, 'max_terms': 4}",6.1874951591664455,4.866354732761858,0.029162368506146494,873.9715280532837,-13.559135*log(x3^3 * x7^-2) + 7.948743*cos(x3^3 * x5^-3 * x7) + 2229.860573*tanh(x6^2 * x7^-2) + 7.245546*tanh(x1^-1 * x7) + -9.112274*log(x0^-3 * x6 * x7^2) + -1.566007*sin(x5 * x6^-2 * x7^2) + 2.1e-05*sqrt.abs(x1 * x3^3 * x6) + 7.255874*tanh(x0^3 * x3^2 * x4^3 * x7^-1) + -2126.352362133225,0,2
concrete,"{'expolim': 2, 'max_terms': 10}",6.1625460513386425,4.863732146696358,0.02898506133569793,873.9143149852753,63.175588*sqrt.abs(x0 * x3^-1) + 2.375219*log(x0^-2 * x3^-1 * x6^-3 * x7^3) + 3.135601*sqrt.abs(x1^2 * x5^-2 * x6) + 4.416881*sin(x3 * x5^-3 * x6 * x7^2) + -9.493417*tanh(x4^-3 * x5^-2 * x6^-1 * x7^-2) + -0.0*id(x3^3 * x4^2 * x5^-2 * x6^2) + -0.001518*sqrt.abs(x0^2 * x3) + -1e-06*sqrt.abs(x0 * x1^2 * x3^-3 * x5^3 * x6^2 * x7^-1) + 26.939271705460705,0,3
concrete,"{'expolim': 1, 'max_terms': 4}",6.1953519358612015,4.725773254513562,0.029495029878818555,870.7121880054474,7.404789*tanh(x0^2 * x3^2 * x4^3 * x5^2 * x6^3 * x7) + 0.0*sqrt.abs(x0 * x1^2 * x5 * x6 * x7) + 1.843054*sqrt.abs(x0^-2 * x1 * x3^3 * x5^-1) + 5e-06*sqrt.abs(x2^3 * x4^2 * x7^2) + -65079376.457398*sin(x5^-3 * x7) + -11.457584*log(x0^-3 * x3^3 * x7^-1) + 0.993794*cos(x7) + 5.656341*id(x0^-1 * x5 * x7^-1) + -23.52113662160125,0,4
concrete,"{'expolim': 1, 'max_terms': 2}",6.177800617829067,4.7400504912789465,0.029345498949366174,874.3083596229553,0.0*id(x2 * x3^-1 * x5^2 * x6^2) + -10.310508*log(x0^-3 * x3^2 * x5^-1 * x6^-1 * x7^-1) + 0.0*sqrt.abs(x0^2 * x1^3 * x5 * x6^3 * x7) + -0.039308*sqrt.abs(x5^2 * x6^-2 * x7^2) + 15.515306*sqrt.abs(x0^-2 * x1 * x3) + 0.000123*id(x0^-1 * x3^2 * x5^-2 * x6^3 * x7^-1) + 3859.654507*exp(x0 * x3^-1 * x6^-1) + -4.679366*tanh(x0^2 * x3^-1 * x4^-3 * x5^-1 * x6^-2 * x7^-1) + -4076.9905204590455,0,5
concrete,"{'expolim': 2, 'max_terms': 6}",6.383061687978697,5.029697471776057,0.03166710384540868,871.6666610240936,4.304501*log(x0^-1 * x3^-1 * x5 * x6^-1 * x7^2) + -14432.627909*sqrt.abs(x3 * x4^3 * x5^-2 * x6^-2 * x7^-1) + 103379654.089986*cos(x0 * x3^-1 * x5^-3 * x6 * x7) + 6.579337*tanh(x0^-1 * x3^-2 * x4 * x5^2 * x6 * x7^-1) + 1e-06*sqrt.abs(x1^2 * x3^2 * x6^2) + 1.324217*sin(x3 * x5^2) + -5.400902*tanh(x0^-2 * x2^-3 * x3^2 * x5 * x6^-3 * x7^2) + 58.880448*sqrt.abs(x0 * x3^-1) + -103379678.24701364,1,0
concrete,"{'expolim': 3, 'max_terms': 2}",6.24250411113725,4.8761566602836535,0.0300712852119714,869.0269067287445,3.179086*sqrt.abs(x0^2 * x6^-1) + 806.699833*sin(x3^-2 * x5^2 * x6^-1) + -20.679438*id(x5^2 * x6^-2) + 15158954074.66484*tanh(x3^2 * x5^-2 * x6) + -9.560625*tanh(x0^3 * x2^-2 * x5^-1 * x6^-1 * x7^-1) + -654.45692*sqrt.abs(x0^2 * x1 * x3^-2 * x5 * x6^-3 * x7^-1) + -7.534592*log(x3^-3 * x5^-3 * x6^2 * x7^-1) + 0.009248*sqrt.abs(x0 * x1^2 * x5^-1 * x6) + -15158954267.126537,1,1
concrete,"{'expolim': 1, 'max_terms': 6}",6.328111107167268,4.989193284717536,0.03097444573860692,869.7017223834991,-6.638973*log(x0^-3 * x3 * x5^-1 * x6^-1 * x7^-1) + -12.037111*log(x3 * x5^-1) + 1.2e-05*id(x0^2 * x3^-1 * x5) + 65.499621*sqrt.abs(x1 * x5^-1) + -28.519652*tanh(x1 * x3^-1 * x5 * x6^-1 * x7^-1) + 8.097556*tanh(x1^-1 * x5^-2 * x6^-2 * x7^-2) + 5.335777*tanh(x0^3 * x4^3 * x6^2 * x7^2) + 0.0*sqrt.abs(x0^2 * x2^2 * x3^-1 * x5^2 * x6 * x7) + -199.00115984041946,1,2
concrete,"{'expolim': 1, 'max_terms': 8}",6.1830376467658725,4.809921875445932,0.02985398661486994,874.2372422218323,-154230252.610151*sqrt.abs(x0^-1 * x3^-2 * x6^-3 * x7) + 1e-06*sqrt.abs(x1^2 * x6^3 * x7) + 6.226436*sqrt.abs(x0^-2 * x5^-1 * x6^3 * x7^-1) + 1e-06*sqrt.abs(x2 * x5^3 * x7^2) + 1.45203*id(x3^2 * x5^-1) + -1.101628*id(x3) + 13.329546*log(x0^2 * x3^3 * x5^3 * x6^-3 * x7) + -0.000135*id(x1^2 * x3^-2 * x7^2) + -220.80164470258904,1,3
concrete,"{'expolim': 2, 'max_terms': 6}",6.135438286271744,4.760981525611236,0.02919822106241235,867.7469625473022,10.295276*log(x0^-1 * x3^-3 * x5^-1) + 8.623598*tanh(x2 * x3 * x7) + 1e-06*sqrt.abs(x1^2 * x3^3 * x5^-1 * x6^2) + -18.515802*tanh(x0^-2 * x5^2 * x7^-1) + 1.8e-05*sqrt.abs(x0^3 * x1^3 * x4 * x5^-1 * x6^-1 * x7) + 0.122288*sqrt.abs(x0 * x5) + 0.001222*sqrt.abs(x0^-2 * x2 * x3^-1 * x5^3 * x6^-1 * x7^3) + -22626644.898529*sqrt.abs(x0^-1 * x3 * x5^-1 * x6^-3 * x7^-1) + 266.6144529652522,1,4
concrete,"{'expolim': 2, 'max_terms': 6}",6.312716570293325,4.9881015709774434,0.030851882408091086,867.6121010780334,3.3e-05*sqrt.abs(x0 * x3^-1 * x5^2 * x6^2) + 29.407235*exp(x0^2 * x5^-1 * x6^-1) + -5.510784*log(x0^-3 * x5 * x6^2 * x7^-2) + -150.768494*id(x0 * x5^-2 * x7) + 41.578572*tanh(x0^-2 * x3^2 * x7^-2) + 0.000269*sqrt.abs(x2 * x3^-2 * x5^2 * x6^2) + 0.0*sqrt.abs(x0^2 * x1^3 * x3^3 * x4^2 * x5 * x6^-2) + 0.0*sqrt.abs(x1^2 * x3^2 * x6^3) + -57.24936355444383,1,5
concrete,"{'expolim': 3, 'max_terms': 4}",6.757209402136617,5.262571668775812,0.03630128951399727,871.809095621109,7.500196*tanh(x0^-1 * x3^-3 * x4^3 * x5 * x6^2 * x7^3) + -476312.427333*cos(x0^-1) + 0.0*sqrt.abs(x0^2 * x2^3 * x5 * x6 * x7) + -7.03374*log(x5^-3 * x7^-1) + -0.0*sqrt.abs(x0^2 * x1 * x3 * x5^2 * x6 * x7^-2) + -126277.177657*tanh(x0^-1 * x3^2 * x4^2 * x5^-3) + -12.669319*log(x0^-3 * x3^3 * x5) + 94.051399*tanh(x1 * x5^-1) + 476237.5239675953,2,0
